session_id,date_utc,start_time_utc,end_time_utc,duration_first_to_last_spectrum_h,target_names_su,field_identifier,ra_j2000_commanded,dec_j2000_commanded,coordinate_epoch,center_frequency_mhz,bandwidth_mhz,channel_count_pol1,dump_cadence_s,integration_time_s,calibration_state,file_provenance,rpfits_association,spectrum_association,pointing_association,scanlog_association,source_locators
c102280930,'2010-08-16        ',~09:30UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.38417h,-26.723)",pre-field_2010_position,19.38417h,-26.723deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED","DOCUMENTED_2010_chain(CAL49.4/53.7Jy,SEFD450/433Jy)",DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c102280930.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,analysis/rpfits_su_widescan.json#c102280930.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c102281100,'2010-08-16        ',~11:00UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_off1(19.38417h,-25.723), wow(19.38417h,-26.723)",pre-field_2010_position,19.38417h,-25.723deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED","DOCUMENTED_2010_chain(CAL49.4/53.7Jy,SEFD450/433Jy)",DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c102281100.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,analysis/rpfits_su_widescan.json#c102281100.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c102281325,'2010-08-16        ',~13:25UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.38417h,-26.723), wow_off2(19.38417h,-27.723)",pre-field_2010_position,19.38417h,-26.723deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED","DOCUMENTED_2010_chain(CAL49.4/53.7Jy,SEFD450/433Jy)",DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c102281325.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,analysis/rpfits_su_widescan.json#c102281325.rpf,bruce_10228.log/ricky_10228.log; spectra.tar.gz+loose 2010obs txt,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c131891236,'2013-07-08        ',~12:36UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.38417h,-26.723), zenith(19.38417h,-27.723)",pre-field_2010_position,19.38417h,-26.723deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c131891236.rpf,bruce_13189.log; wow_test_2013doy189.tar.gz,analysis/rpfits_su_widescan.json#c131891236.rpf,bruce_13189.log; wow_test_2013doy189.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c131921224,'2013-07-11        ',~12:24UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.42444h,-26.95), zenith(19.42444h,-27.95)",pre-field_2010_position,19.42444h,-26.95deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c131921224.rpf,bruce_13192.log; wow_test_2013doy192.tar.gz,analysis/rpfits_su_widescan.json#c131921224.rpf,bruce_13192.log; wow_test_2013doy192.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c131981200,'2013-07-17        ',~12:00UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.42444h,-26.95), zenith(19.42444h,-36.95)",pre-field_2010_position,19.42444h,-26.95deg,'j2000             ',1420.0,4.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c131981200.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c131981200.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c131991156,'2013-07-18        ',~11:56UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow(19.42444h,-26.95), zenith(19.42444h,-36.95)",pre-field_2010_position,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c131991156.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c131991156.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132180521,'2013-08-06        ',~05:21UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132180521.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132180521.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132180832,'2013-08-06        ',~08:32UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132180832.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132180832.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132181244,'2013-08-06        ',~12:44UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132181244.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132181244.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
