campaign,session,date,start_time,end_time,usable_duration,pointing_ra,pointing_dec,frequency_start,frequency_end,bandwidth,channel_count,spectral_resolution,polarization,scan_id,data_product,rfi_status,calibration_status,sensitivity_status,detection_threshold,provenance,uncertainty,source_file
2010_followup,2010-08-16_ut0930-1542,2010-08-16,2010-08-16T09:31:38Z,2010-08-16T15:42:33Z,6.182_h_span_first_to_last_spectrum,J2000 19:23:03.0 -26.43.24.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,2000_MHz_per_2048ch,2048,976.5625 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=6500 (wow x6020, wow_off1 x240, wow_off2 x240)",UNKNOWN,DOCUMENTED_2010_CAL_3C348_SEFD450/433Jy_CAL49.4/53.7Jy_FWHM34-37arcmin,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint; antenna_drive_freeze_12:54-13:25UT_documented_for_2010,2010-08-16_ut0930-1542
2013_followup,wow_field1_2013doy218,2013-08-06,2013-08-06T05:25:09Z,2013-08-06T21:05:54Z,15.679_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=21667 (wow_f1 x20220, zenith x1446)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_field1_2013doy218
2013_followup,wow_field1_2013doy256,2013-09-13; 2013-09-14,2013-09-13T02:55:19Z,2013-09-14T05:00:34Z,26.087_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,ASAP_ASCII_spectra_n=2442 (wow_f1 x2442),UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_field1_2013doy256
2013_followup,wow_field1_2013doy258,2013-09-15,2013-09-15T02:47:09Z,2013-09-15T03:39:24Z,0.871_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,ASAP_ASCII_spectra_n=1194 (wow_f1 x1194),UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_field1_2013doy258
2013_followup,wow_field2_2013doy219,2013-08-07,2013-08-07T05:21:09Z,2013-08-07T19:34:04Z,14.215_h_span_first_to_last_spectrum,J2000 19:28:17.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=16855 (wow_f2 x15414, zenith x1440)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_field2_2013doy219
2013_tests,wow_test_2013doy189,2013-07-08,2013-07-08T12:38:19Z,2013-07-08T15:25:24Z,2.785_h_span_first_to_last_spectrum,J2000 19:23:03.0 -26.43.24.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,2000_MHz_per_2048ch,2048,976.5625 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=3862 (wow x2900, zenith x962)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_test_2013doy189
2013_tests,wow_test_2013doy192,2013-07-11,2013-07-11T12:26:14Z,2013-07-11T15:13:19Z,2.785_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,2000_MHz_per_2048ch,2048,976.5625 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=3858 (wow x2898, zenith x960)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_test_2013doy192
2013_tests,wow_test_2013doy198,2013-07-17,2013-07-17T12:02:34Z,2013-07-17T15:09:49Z,3.121_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,2000_MHz_per_2048ch,2048,976.5625 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=4334 (wow x2890, zenith x1444)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_test_2013doy198
2013_tests,wow_test_2013doy199,2013-07-18,2013-07-18T11:58:34Z,2013-07-18T15:05:44Z,3.119_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,"ASAP_ASCII_spectra_n=4334 (wow x2890, zenith x1444)",UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_test_2013doy199
2014_followup,wow_field1_2014doy283,2014-10-10; 2014-10-11,2014-10-10T01:11:39Z,2014-10-11T07:26:24Z,30.246_h_span_first_to_last_spectrum,J2000 19:25:28.0 -26.57.00.0,,TOPO_axis_see_header_index,TOPO_axis_see_header_index,4000_MHz_per_2048ch,2048,1953.125 kHz,linear_pol1_pol2,per_file_names_in_index,ASAP_ASCII_spectra_n=4587 (wow_f1 x4584),UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE_fixtsys_Tsys500K_normalization_no_Jy_chain_documented,UNKNOWN,UNKNOWN,DONOR_SUPPLIED|PROCESSED_OBSERVATION,header_Time_is_first_row_of_dump_not_integration_midpoint,wow_field1_2014doy283
